"","Trial_Name","Trial_ID","Trial_SESSION","Trial_Trial","Trial_Text","Keylog_CLEAN","IME","OS","AGE","DIALECT","GENDER","CharacterType","TrialDate","sequence","token","uniq","Segment","text_seg"
"123","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.20","",11,"5","Madman_5"
"124","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.20","",9,"5","Madman_5"
"125","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.20","S",8,"5","_5"
"126","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.20","",11,"5","_5"
"127","madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","X.21","",12,"5","Madman_5"
"128","madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","X.21","*",2,"5","Madman_5"
"129","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.21","",12,"5","Madman_5"
"130","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.21","",10,"5","Madman_5"
"131","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.21","D",2,"5","_5"
"132","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.21","",12,"5","_5"
